date,price,date,month,day_of_week
2015-04-21,36250.375,2015-04-21,4,1
2015-04-22,41571.255319148935,2015-04-22,4,2
2015-04-23,34058.5,2015-04-23,4,3
2015-04-24,37422.458333333336,2015-04-24,4,4
2015-04-25,34447.49253731343,2015-04-25,4,5
2015-04-26,38888.3,2015-04-26,4,6
2015-04-27,39143.232876712325,2015-04-27,4,0
2015-04-28,41298.718309859156,2015-04-28,4,1
2015-04-29,41633.68656716418,2015-04-29,4,2
2015-04-30,37958.07042253521,2015-04-30,4,3
2015-05-01,36917.08450704225,2015-05-01,5,4
2015-05-02,39614.67605633803,2015-05-02,5,5
2015-05-03,39447.0,2015-05-03,5,6
2015-05-04,39060.708333333336,2015-05-04,5,0
2015-05-05,38770.59722222222,2015-05-05,5,1
2015-05-06,38812.681818181816,2015-05-06,5,2
2015-05-07,39035.12698412698,2015-05-07,5,3
2015-05-08,38892.81690140845,2015-05-08,5,4
2015-05-09,38824.394366197186,2015-05-09,5,5
2015-05-10,39355.59701492537,2015-05-10,5,6
2015-05-11,40897.55072463768,2015-05-11,5,0
2015-05-12,40302.434782608696,2015-05-12,5,1
2015-05-13,40613.09090909091,2015-05-13,5,2
2015-05-14,39522.78378378379,2015-05-14,5,3
2015-05-15,39347.642857142855,2015-05-15,5,4
2015-05-16,39439.416666666664,2015-05-16,5,5
2015-05-17,39269.09090909091,2015-05-17,5,6
2015-05-18,39785.391304347824,2015-05-18,5,0
2015-05-19,40106.9,2015-05-19,5,1
2015-05-20,40163.708333333336,2015-05-20,5,2
2015-05-21,40609.04285714286,2015-05-21,5,3
2015-05-22,40792.86111111111,2015-05-22,5,4
2015-05-23,40335.8125,2015-05-23,5,5
2015-05-24,40620.9375,2015-05-24,5,6
2015-05-25,41521.112676056335,2015-05-25,5,0
2015-05-26,43354.24637681159,2015-05-26,5,1
2015-05-27,42744.11111111111,2015-05-27,5,2
2015-05-28,42530.45070422535,2015-05-28,5,3
2015-05-29,41948.89552238806,2015-05-29,5,4
2015-05-30,41336.583333333336,2015-05-30,5,5
2015-06-01,41985.98591549296,2015-06-01,6,0
2015-06-02,42266.357142857145,2015-06-02,6,1
2015-06-03,42493.90277777778,2015-06-03,6,2
2015-06-04,42587.80281690141,2015-06-04,6,3
2015-06-05,42862.42465753425,2015-06-05,6,4
2015-06-06,42976.333333333336,2015-06-06,6,5
2015-06-07,42835.3125,2015-06-07,6,6
2015-06-08,44193.69117647059,2015-06-08,6,0
2015-06-09,44669.605633802814,2015-06-09,6,1
2015-06-10,44723.290322580644,2015-06-10,6,2
2015-06-11,45630.85964912281,2015-06-11,6,3
2015-06-12,46500.43076923077,2015-06-12,6,4
2015-06-13,45909.5,2015-06-13,6,5
2015-06-14,46686.42253521127,2015-06-14,6,6
2015-06-15,47575.944444444445,2015-06-15,6,0
2015-06-16,47953.22857142857,2015-06-16,6,1
2015-06-17,48559.28571428572,2015-06-17,6,2
2015-06-18,49474.958333333336,2015-06-18,6,3
2015-06-19,49963.98611111111,2015-06-19,6,4
2015-06-20,50322.27142857143,2015-06-20,6,5
2015-06-21,50344.971830985916,2015-06-21,6,6
2015-06-22,51367.02777777778,2015-06-22,6,0
2015-06-23,52930.22222222222,2015-06-23,6,1
2015-06-24,52819.882352941175,2015-06-24,6,2
2015-06-25,52732.51515151515,2015-06-25,6,3
2015-06-26,51163.230769230766,2015-06-26,6,4
2015-06-27,49739.98611111111,2015-06-27,6,5
2015-06-28,49228.583333333336,2015-06-28,6,6
2015-06-29,50032.6,2015-06-29,6,0
2015-06-30,48541.0,2015-06-30,6,1
2015-07-01,48233.91379310345,2015-07-01,7,2
2015-07-02,47928.10447761194,2015-07-02,7,3
2015-07-03,47657.33802816901,2015-07-03,7,4
2015-07-04,47664.083333333336,2015-07-04,7,5
2015-07-05,47476.704225352114,2015-07-05,7,6
2015-07-06,47700.583333333336,2015-07-06,7,0
2015-07-07,47437.583333333336,2015-07-07,7,1
2015-07-08,47512.333333333336,2015-07-08,7,2
2015-07-09,47251.083333333336,2015-07-09,7,3
2015-07-10,47189.84722222222,2015-07-10,7,4
2015-07-11,47038.555555555555,2015-07-11,7,5
2015-07-12,47298.0,2015-07-12,7,6
2015-07-13,47312.569444444445,2015-07-13,7,0
2015-07-14,47087.930555555555,2015-07-14,7,1
2015-07-15,46978.09722222222,2015-07-15,7,2
2015-07-16,47154.2,2015-07-16,7,3
2015-07-17,47073.58571428571,2015-07-17,7,4
2015-07-18,46818.45070422535,2015-07-18,7,5
2015-07-19,46749.828571428574,2015-07-19,7,6
2015-07-20,47005.84722222222,2015-07-20,7,0
2015-07-21,47256.26388888889,2015-07-21,7,1
2015-07-22,47499.694444444445,2015-07-22,7,2
2015-07-23,47327.73611111111,2015-07-23,7,3
2015-07-24,47176.72222222222,2015-07-24,7,4
2015-07-25,46901.5,2015-07-25,7,5
2015-07-26,46822.805555555555,2015-07-26,7,6
2015-07-27,47202.042253521126,2015-07-27,7,0
2015-07-28,46923.708333333336,2015-07-28,7,1
2015-07-29,46893.51851851852,2015-07-29,7,2
2015-07-30,47158.52777777778,2015-07-30,7,3
2015-07-31,46630.98591549296,2015-07-31,7,4
2015-08-01,46554.633802816905,2015-08-01,8,5
2015-08-02,46554.957746478874,2015-08-02,8,6
2015-08-03,46813.36111111111,2015-08-03,8,0
2015-08-04,46996.13432835821,2015-08-04,8,1
2015-08-05,47218.885714285716,2015-08-05,8,2
2015-08-06,47330.74285714285,2015-08-06,8,3
2015-08-07,47691.51388888889,2015-08-07,8,4
2015-08-08,47693.76388888889,2015-08-08,8,5
2015-08-09,47203.833333333336,2015-08-09,8,6
2015-08-10,47741.7323943662,2015-08-10,8,0
2015-08-11,47499.666666666664,2015-08-11,8,1
2015-08-12,47634.11111111111,2015-08-12,8,2
2015-08-13,48589.042253521126,2015-08-13,8,3
2015-08-14,47606.73611111111,2015-08-14,8,4
2015-08-15,47109.11111111111,2015-08-15,8,5
2015-08-16,47361.625,2015-08-16,8,6
2015-08-17,47541.15492957747,2015-08-17,8,0
2015-08-18,47398.985714285714,2015-08-18,8,1
2015-08-19,48066.0,2015-08-19,8,2
2015-08-20,47644.0,2015-08-20,8,3
2015-08-21,47614.01388888889,2015-08-21,8,4
2015-08-22,47358.7323943662,2015-08-22,8,5
2015-08-23,47430.319444444445,2015-08-23,8,6
2015-08-24,47825.680555555555,2015-08-24,8,0
2015-08-25,47640.08450704225,2015-08-25,8,1
2015-08-26,47803.069444444445,2015-08-26,8,2
2015-08-27,47967.11111111111,2015-08-27,8,3
2015-08-28,47601.069444444445,2015-08-28,8,4
2015-08-29,47331.208333333336,2015-08-29,8,5
2015-08-30,47426.11111111111,2015-08-30,8,6
2015-08-31,47704.916666666664,2015-08-31,8,0
2015-09-01,47593.02777777778,2015-09-01,9,1
2015-09-02,47531.541666666664,2015-09-02,9,2
2015-09-03,48273.25396825397,2015-09-03,9,3
2015-09-04,49329.22222222222,2015-09-04,9,4
2015-09-05,48364.6,2015-09-05,9,5
2015-09-06,48228.59722222222,2015-09-06,9,6
2015-09-07,48819.63888888889,2015-09-07,9,0
2015-09-08,49040.042253521126,2015-09-08,9,1
2015-09-09,49429.666666666664,2015-09-09,9,2
2015-09-10,49564.63888888889,2015-09-10,9,3
2015-09-11,49479.541666666664,2015-09-11,9,4
2015-09-12,49350.416666666664,2015-09-12,9,5
2015-09-13,49313.305555555555,2015-09-13,9,6
2015-09-14,49954.09722222222,2015-09-14,9,0
2015-09-15,50177.680555555555,2015-09-15,9,1
2015-09-16,50105.46666666667,2015-09-16,9,2
2015-09-17,50550.569444444445,2015-09-17,9,3
2015-09-18,50275.854166666664,2015-09-18,9,4
2015-09-19,51708.859154929574,2015-09-19,9,5
2015-09-20,51474.51470588235,2015-09-20,9,6
2015-09-21,51783.916666666664,2015-09-21,9,0
2015-09-22,51736.43939393939,2015-09-22,9,1
2015-09-23,52074.58571428571,2015-09-23,9,2
2015-09-24,52287.82608695652,2015-09-24,9,3
2015-09-25,52127.11111111111,2015-09-25,9,4
2015-09-26,51929.23611111111,2015-09-26,9,5
2015-09-27,51687.083333333336,2015-09-27,9,6
2015-09-28,52568.944444444445,2015-09-28,9,0
2015-09-29,52425.02777777778,2015-09-29,9,1
2015-09-30,52224.140845070426,2015-09-30,9,2
2015-10-01,52543.541666666664,2015-10-01,10,3
2015-10-02,52540.833333333336,2015-10-02,10,4
2015-10-03,52398.36111111111,2015-10-03,10,5
2015-10-04,52502.166666666664,2015-10-04,10,6
2015-10-05,53349.295774647886,2015-10-05,10,0
2015-10-06,53743.13888888889,2015-10-06,10,1
2015-10-07,54082.706896551725,2015-10-07,10,2
2015-10-08,54459.69014084507,2015-10-08,10,3
2015-10-09,55180.8,2015-10-09,10,4
2015-10-10,55111.84722222222,2015-10-10,10,5
2015-10-11,55343.416666666664,2015-10-11,10,6
2015-10-12,56722.704225352114,2015-10-12,10,0
2015-10-13,57797.625,2015-10-13,10,1
2015-10-14,58717.76388888889,2015-10-14,10,2
2015-10-15,59930.12857142857,2015-10-15,10,3
2015-10-16,60304.041666666664,2015-10-16,10,4
2015-10-17,60133.91428571429,2015-10-17,10,5
2015-10-18,60845.583333333336,2015-10-18,10,6
2015-10-19,61763.0,2015-10-19,10,0
2015-10-20,62230.56923076923,2015-10-20,10,1
2015-10-21,61802.142857142855,2015-10-21,10,2
2015-10-22,62645.680555555555,2015-10-22,10,3
2015-10-23,62404.38888888889,2015-10-23,10,4
2015-10-24,61901.52112676056,2015-10-24,10,5
2015-10-25,61698.57534246575,2015-10-25,10,6
2015-10-26,62259.05633802817,2015-10-26,10,0
2015-10-27,62142.30985915493,2015-10-27,10,1
2015-10-28,62227.71666666667,2015-10-28,10,2
2015-10-29,61961.54929577465,2015-10-29,10,3
2015-10-30,61266.281690140844,2015-10-30,10,4
2015-10-31,61096.76388888889,2015-10-31,10,5
2015-11-01,61142.17391304348,2015-11-01,11,6
2015-11-02,61452.43661971831,2015-11-02,11,0
2015-11-03,61680.028169014084,2015-11-03,11,1
2015-11-04,61881.15714285714,2015-11-04,11,2
2015-11-05,61517.01408450704,2015-11-05,11,3
2015-11-06,61530.88888888889,2015-11-06,11,4
2015-11-07,61749.97222222222,2015-11-07,11,5
2015-11-08,61591.52777777778,2015-11-08,11,6
2015-11-09,62226.77777777778,2015-11-09,11,0
2015-11-10,62452.569444444445,2015-11-10,11,1
2015-11-11,62347.83098591549,2015-11-11,11,2
2015-11-12,62164.416666666664,2015-11-12,11,3
2015-11-13,61683.38888888889,2015-11-13,11,4
2015-11-14,61849.7323943662,2015-11-14,11,5
2015-11-15,61599.291666666664,2015-11-15,11,6
2015-11-16,62744.859154929574,2015-11-16,11,0
2015-11-17,63176.444444444445,2015-11-17,11,1
2015-11-18,62314.36666666667,2015-11-18,11,2
2015-11-19,63063.43661971831,2015-11-19,11,3
2015-11-20,62836.375,2015-11-20,11,4
2015-11-21,62293.458333333336,2015-11-21,11,5
2015-11-22,62495.04285714286,2015-11-22,11,6
2015-11-23,62922.76388888889,2015-11-23,11,0
2015-11-24,62867.859154929574,2015-11-24,11,1
2015-11-25,62563.430555555555,2015-11-25,11,2
2015-11-26,62404.40277777778,2015-11-26,11,3
2015-11-27,62034.27777777778,2015-11-27,11,4
2015-11-28,61648.09722222222,2015-11-28,11,5
2015-11-29,61788.26388888889,2015-11-29,11,6
2015-11-30,61911.01408450704,2015-11-30,11,0
2015-12-01,61575.52777777778,2015-12-01,12,1
2015-12-02,62213.81690140845,2015-12-02,12,2
2015-12-03,61781.78431372549,2015-12-03,12,3
2015-12-04,61628.47887323944,2015-12-04,12,4
2015-12-05,61368.76388888889,2015-12-05,12,5
2015-12-06,61435.625,2015-12-06,12,6
2015-12-07,61661.416666666664,2015-12-07,12,0
2015-12-08,61445.90277777778,2015-12-08,12,1
2015-12-09,61740.788732394365,2015-12-09,12,2
2015-12-10,61556.125,2015-12-10,12,3
2015-12-11,61378.708333333336,2015-12-11,12,4
2015-12-12,61147.67605633803,2015-12-12,12,5
2015-12-13,61359.375,2015-12-13,12,6
2015-12-14,61585.791666666664,2015-12-14,12,0
2015-12-15,61645.07042253521,2015-12-15,12,1
2015-12-16,62126.64615384615,2015-12-16,12,2
2015-12-17,61695.05172413793,2015-12-17,12,3
2015-12-18,61455.65714285714,2015-12-18,12,4
2015-12-19,60971.34722222222,2015-12-19,12,5
2015-12-20,61095.35211267605,2015-12-20,12,6
2015-12-21,61254.958333333336,2015-12-21,12,0
2015-12-22,60950.25,2015-12-22,12,1
2015-12-23,60525.805555555555,2015-12-23,12,2
2015-12-24,60362.708333333336,2015-12-24,12,3
2015-12-25,60132.59154929577,2015-12-25,12,4
2015-12-26,60246.971830985916,2015-12-26,12,5
2015-12-27,60280.81690140845,2015-12-27,12,6
2015-12-28,60126.833333333336,2015-12-28,12,0
2015-12-29,59965.48611111111,2015-12-29,12,1
2015-12-30,59729.569444444445,2015-12-30,12,2
2015-12-31,59597.069444444445,2015-12-31,12,3
2016-01-01,59709.625,2016-01-01,1,4
2016-01-02,59601.8,2016-01-02,1,5
2016-01-03,59716.529411764706,2016-01-03,1,6
2016-01-04,60057.625,2016-01-04,1,0
2016-01-05,59918.0,2016-01-05,1,1
2016-01-06,59902.211267605635,2016-01-06,1,2
2016-01-07,60099.86111111111,2016-01-07,1,3
